,Year,NOC,predicted_gold,predicted_total_medal
0,2028,SLO,0.4377466142177582,2.1182148456573486
1,2028,GAB,0.013253308832645416,0.27501437067985535
2,2028,TLS,0.030518196523189545,0.20153433084487915
3,2028,GUY,0.10102889686822891,0.43376344442367554
4,2028,MTN,0.0276188924908638,0.2068047821521759
5,2028,COD,0.019694097340106964,0.16724830865859985
6,2028,VIN,0.020278610289096832,0.17521324753761292
7,2028,CHN,21.568363189697266,61.47019958496094
8,2028,IRL,1.0805565118789673,3.0178635120391846
9,2028,BUL,0.2722559869289398,1.5246344804763794
10,2028,HUN,5.06751012802124,15.648137092590332
11,2028,ITA,11.860946655273438,39.3547248840332
12,2028,MOZ,0.026655040681362152,0.2285032868385315
13,2028,DJI,0.08979261666536331,0.37151819467544556
14,2028,ARU,0.06898898631334305,0.25686895847320557
15,2028,COL,0.33762940764427185,1.722793698310852
16,2028,SGP,0.03962693363428116,0.30469077825546265
17,2028,USA,48.898406982421875,125.80659484863281
18,2028,CHA,0.022862710058689117,0.18601292371749878
19,2028,QAT,0.23975828289985657,0.7091076970100403
20,2028,ALG,0.5414141416549683,0.9410082697868347
21,2028,LES,0.026975102722644806,0.20534014701843262
22,2028,SEN,0.017709888517856598,0.13742178678512573
23,2028,GER,13.051616668701172,44.69099044799805
24,2028,SRI,0.03857661038637161,0.20214855670928955
25,2028,TUR,0.6085687875747681,2.6245625019073486
26,2028,THA,0.04756126552820206,0.3969504237174988
27,2028,MEX,0.40131911635398865,2.6976139545440674
28,2028,ISV,0.02118309587240219,0.17410418391227722
29,2028,ECU,0.6125506162643433,1.8547812700271606
30,2028,AUS,10.624505996704102,41.69126892089844
31,2028,SVK,0.2856191098690033,1.1071110963821411
32,2028,UZB,1.1403175592422485,2.3438560962677
33,2028,CIV,0.04915187507867813,0.2936822772026062
34,2028,PAN,0.07749859243631363,0.35612255334854126
35,2028,MHL,0.02648439258337021,0.1983671486377716
36,2028,IVB,0.031932033598423004,0.22062116861343384
37,2028,PER,0.009992934763431549,0.2873026728630066
38,2028,SYR,0.16095086932182312,0.43803417682647705
39,2028,ANG,-0.029815100133419037,-0.0434003546833992
40,2028,NOR,4.976337909698486,11.84658432006836
41,2028,MAS,0.09492573887109756,0.9201840758323669
42,2028,SOL,0.03192520886659622,0.20882868766784668
43,2028,LBA,0.013053514063358307,0.25864118337631226
44,2028,ERI,0.04912237077951431,0.2291850447654724
45,2028,BAH,-0.013768218457698822,0.17924493551254272
46,2028,NED,13.559537887573242,34.29584884643555
47,2028,SUR,0.1404295265674591,0.3979840874671936
48,2028,FSM,0.027297072112560272,0.1966342329978943
49,2028,MAW,0.023982547223567963,0.1884652078151703
50,2028,ESP,4.779820919036865,19.39157485961914
51,2028,GEQ,0.033415742218494415,0.21620208024978638
52,2028,GRN,0.05679657310247421,0.39858779311180115
53,2028,SKN,0.028845153748989105,0.1980603039264679
54,2028,MKD,0.04562566429376602,0.33923110365867615
55,2028,RWA,0.018133021891117096,0.15467345714569092
56,2028,CGO,0.02072257548570633,0.1774863302707672
57,2028,CMR,0.018885411322116852,0.16573566198349
58,2028,AFG,0.01479879766702652,0.14882981777191162
59,2028,BAR,0.03164278715848923,0.19712886214256287
60,2028,ZAM,-0.022119782865047455,0.03967349976301193
61,2028,BRA,1.6135536432266235,11.379237174987793
62,2028,TAN,0.01905170828104019,0.16172951459884644
63,2028,MLT,0.021851830184459686,0.18526670336723328
64,2028,MDV,0.022937722504138947,0.18098527193069458
65,2028,TUV,0.02769094705581665,0.19974425435066223
66,2028,NRU,0.03383887559175491,0.21400760114192963
67,2028,PAK,0.07986507564783096,0.3160516023635864
68,2028,DMA,0.042035751044750214,0.21971583366394043
69,2028,FIJ,2.802919387817383,5.935884475708008
70,2028,TUN,0.06308481842279434,0.5910980105400085
71,2028,IND,2.1469664573669434,5.478946685791016
72,2028,ISL,0.03029773384332657,0.19458609819412231
73,2028,LUX,0.0870770588517189,0.2817004323005676
74,2028,URU,0.15068277716636658,0.5321595072746277
75,2028,GEO,0.7490260601043701,3.158766984939575
76,2028,DOM,0.4198170602321625,1.6465545892715454
77,2028,CAF,0.02211550623178482,0.18263474106788635
78,2028,ARG,0.8932911157608032,6.877642631530762
79,2028,UAE,0.050050415098667145,0.3822978138923645
80,2028,CUB,1.894295573234558,4.722751140594482
81,2028,PAR,0.03650651127099991,0.6326426863670349
82,2028,AZE,0.6764477491378784,2.2712488174438477
83,2028,SSD,-0.02181389182806015,0.24522918462753296
84,2028,FIN,0.9766093492507935,2.440816640853882
85,2028,AND,0.021214298903942108,0.1747281849384308
86,2028,ALB,0.01313803344964981,0.17309367656707764
87,2028,RSA,2.1605963706970215,6.794304847717285
88,2028,TTO,0.7183060646057129,1.7132614850997925
89,2028,PNG,0.029508747160434723,0.2113693356513977
90,2028,CRO,1.6909857988357544,6.557132244110107
91,2028,ISR,0.7215582132339478,3.4266674518585205
92,2028,OMA,0.10701145976781845,0.3643086552619934
93,2028,YEM,0.02066270262002945,0.17541375756263733
94,2028,VIE,0.0018170848488807678,0.2030593752861023
95,2028,TOG,0.028171829879283905,0.2098269760608673
96,2028,BEL,-0.3234237730503082,6.905459403991699
97,2028,COM,0.022251538932323456,0.18659669160842896
98,2028,IRQ,0.020961619913578033,0.16936010122299194
99,2028,KGZ,0.12517830729484558,0.5259812474250793
100,2028,NZL,4.548597812652588,15.670722007751465
101,2028,STP,0.03134506195783615,0.21081796288490295
102,2028,JAM,1.556094765663147,5.78892183303833
103,2028,AUT,0.7037912607192993,2.1299631595611572
