,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
25,罗马尼亚,0.7646776437759399,6.487530708312988,0.0,0,0,7.0,6,8,0,6,3,9
21,比利时,3.678575023261863,6.905459403991699,2.0,1,3,5.0,5,5,3,5,3,10
29,印度,2.146966457366944,5.478946685791016,2.6666666666666665,1,6,4.333333333333333,3,5,1,5,0,6
36,希腊,0.8277255296707153,3.817128419876098,1.0,0,2,3.0,1,5,1,5,1,8
31,乌克兰,0.4860263764858246,4.948788642883301,0.3333333333333333,0,1,5.0,3,7,1,5,3,12
37,瑞士,0.6279064416885376,3.4413578510284424,0.6666666666666666,0,1,3.6666666666666665,2,5,1,4,1,8
41,爱尔兰,1.0805565118789673,3.017863512039185,0.6666666666666666,0,1,3.3333333333333335,3,4,1,4,4,7
27,斐济,2.802919387817383,5.935884475708008,2.3333333333333335,2,3,5.666666666666667,3,10,2,4,0,1
34,白俄罗斯,0.9979187250137328,4.675942420959473,1.3333333333333333,1,2,4.0,3,5,1,3,1,4
42,墨西哥,0.4013191163539886,2.6976139545440674,0.3333333333333333,0,1,2.0,0,3,0,3,0,5
32,尼日利亚,1.8601113557815552,4.812427520751953,4.0,3,6,6.666666666666667,3,11,6,3,0,0
44,土耳其,0.6085687875747681,2.6245625019073486,1.0,0,2,2.3333333333333335,1,3,1,3,0,8
43,伊朗,0.970967173576355,2.663691282272339,1.3333333333333333,1,2,3.6666666666666665,2,6,2,3,3,12
75,亚美尼亚,0.0,0.7293018698692322,0.0,0,0,1.0,0,2,0,2,0,4
97,阿联酋,0.0500504150986671,0.3822978138923645,0.3333333333333333,0,1,1.0,0,2,0,2,0,0
76,科索沃,0.1240867748856544,0.7174262404441833,0.0,0,0,0.6666666666666666,0,2,0,2,0,2
52,中国香港,0.5942095518112183,1.8972302675247192,0.3333333333333333,0,1,1.6666666666666667,1,2,0,2,2,4
93,苏里南,0.1404295265674591,0.3979840874671936,0.0,0,0,1.0,0,2,0,2,0,0
24,克罗地亚,1.6909857988357544,6.557132244110107,1.6666666666666667,1,2,5.333333333333333,2,8,2,2,2,7
106,塔吉克斯坦,0.0828708782792091,0.3347769379615783,0.0,0,0,1.0,0,2,0,2,0,3
60,博茨瓦纳,0.2003180682659149,1.5094462633132937,0.6666666666666666,0,2,1.3333333333333333,1,2,0,2,1,2
92,格林纳达,0.0567965731024742,0.3985877931118011,0.3333333333333333,0,1,1.0,0,2,1,2,0,2
57,埃塞俄比亚,0.4462532699108124,1.6710106134414673,0.0,0,0,1.6666666666666667,1,2,0,2,1,4
56,立陶宛,0.3453815877437591,1.7104665040969849,0.6666666666666666,0,1,1.3333333333333333,0,2,1,2,0,4
53,厄瓜多尔,0.6125506162643433,1.8547812700271609,1.6666666666666667,0,3,1.3333333333333333,0,2,0,2,1,5
58,多米尼加,0.4198170602321625,1.6465545892715454,0.3333333333333333,0,1,1.3333333333333333,1,2,1,2,1,3
51,印度尼西亚,0.7860281467437744,2.0175461769104004,0.6666666666666666,0,1,2.0,1,3,1,2,2,3
139,所罗门群岛,0.0319252088665962,0.2088286876678466,0.0,0,0,1.0,0,2,0,2,0,0
38,以色列,0.7215582132339478,3.4266674518585205,0.6666666666666666,0,2,2.3333333333333335,2,3,0,2,1,7
