,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
142,毛里塔尼亚,0.0276188924908638,0.2068047821521759,0.0,0,0,0.0,0,0,0,0,0,0
139,所罗门群岛,0.0319252088665962,0.2088286876678466,0.0,0,0,0.0,0,0,0,0,0,0
136,圣多美和普林西比,0.0313450619578361,0.2108179628849029,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
135,巴布亚新几内亚,0.0295087471604347,0.2113693356513977,0.0,0,0,0.0,0,0,0,0,0,0
134,塞拉利昂,0.0352145954966545,0.2130538821220398,0.0,0,0,0.0,0,0,0,0,0,0
133,基里巴斯,0.0281868204474449,0.2132015526294708,0.3333333333333333,0,1,0.0,0,0,1,0,0,0
132,瑙鲁,0.0338388755917549,0.2140076011419296,0.0,0,0,0.0,0,0,0,0,0,0
131,赤道几内亚,0.0334157422184944,0.2162020802497863,0.0,0,0,0.0,0,0,0,0,0,0
129,英属维尔京群岛,0.031932033598423,0.2206211686134338,0.0,0,0,0.0,0,0,0,0,0,0
123,尼泊尔,0.035100944340229,0.2321894168853759,0.0,0,0,0.0,0,0,0,0,0,0
122,几内亚比绍,0.0339086428284645,0.2354770898818969,0.0,0,0,0.0,0,0,0,0,0,0
120,黎巴嫩,0.0421502962708473,0.2421614527702331,0.0,0,0,0.0,0,0,0,0,0,0
118,南苏丹,0.0,0.2452291846275329,0.0,0,0,0.0,0,0,0,0,0,0
114,阿鲁巴,0.068988986313343,0.2568689584732055,0.0,0,0,0.0,0,0,0,0,0,0
201,安哥拉,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
