,Unnamed: 0,Year,NOC,predicted_gold,predicted_total_medal
51,51,2028,赤道几内亚,0.0334157422184944,0.2162020802497863
66,66,2028,瑙鲁,0.0338388755917549,0.2140076011419296
174,174,2028,基里巴斯,0.0281868204474449,0.2132015526294708
194,194,2028,塞拉利昂,0.0352145954966545,0.2130538821220398
89,89,2028,巴布亚新几内亚,0.0295087471604347,0.2113693356513977
101,101,2028,圣多美和普林西比,0.0313450619578361,0.2108179628849029
199,199,2028,汤加,0.0367577001452446,0.2105815410614013
95,95,2028,多哥,0.0281718298792839,0.2098269760608673
42,42,2028,所罗门群岛,0.0319252088665962,0.2088286876678466
118,118,2028,列支敦士登,0.0311097018420696,0.2084640264511108
124,124,2028,毛里求斯,0.0206570401787757,0.2076184153556823
4,4,2028,毛里塔尼亚,0.0276188924908638,0.2068047821521759
21,21,2028,莱索托,0.0269751027226448,0.2053401470184326
127,127,2028,斯威士兰,0.0323175713419914,0.2043966948986053
173,173,2028,索马里,0.028436429798603,0.2036674916744232
94,94,2028,越南,0.0018170848488807,0.2030593752861023
24,24,2028,斯里兰卡,0.0385766103863716,0.2021485567092895
169,169,2028,伯利兹,0.0275399461388587,0.2018602192401886
2,2,2028,东帝汶,0.0305181965231895,0.2015343308448791
156,156,2028,帕劳,0.0270407125353813,0.1999290883541107
65,65,2028,图瓦卢,0.0276909470558166,0.1997442543506622
193,193,2028,纳米比亚,0.0302255079150199,0.1996287405490875
35,35,2028,马绍尔群岛,0.0264843925833702,0.1983671486377716
53,53,2028,圣基茨和尼维斯,0.0288451537489891,0.1980603039264679
186,186,2028,塞舌尔,0.0288280621170997,0.1980442702770233
59,59,2028,巴巴多斯,0.0316427871584892,0.1971288621425628
48,48,2028,密克罗尼西亚,0.0272970721125602,0.1966342329978943
140,140,2028,美属萨摩亚,0.0264267995953559,0.1957792043685913
72,72,2028,冰岛,0.0302977338433265,0.1945860981941223
188,188,2028,老挝,0.0257754847407341,0.19450643658638
131,131,2028,萨尔瓦多,0.0364728942513465,0.1884832978248596
49,49,2028,马拉维,0.0239825472235679,0.1884652078151703
145,145,2028,贝宁,0.0288792476058006,0.1873664557933807
97,97,2028,科摩罗,0.0222515389323234,0.1865966916084289
18,18,2028,乍得,0.0228627100586891,0.1860129237174987
63,63,2028,马耳他,0.0218518301844596,0.1852667033672332
158,158,2028,巴勒斯坦,0.02482420951128,0.1848948001861572
189,189,2028,马达加斯加,0.0305704548954963,0.1847879886627197
190,190,2028,柬埔寨,0.0223147496581077,0.1839097440242767
172,172,2028,文莱,0.0224570706486701,0.183841198682785
115,115,2028,不丹,0.0225828662514686,0.1832669377326965
77,77,2028,中非共和国,0.0221155062317848,0.1826347410678863
64,64,2028,马尔代夫,0.0229377225041389,0.1809852719306945
108,108,2028,孟加拉国,0.0211667343974113,0.1803638041019439
133,133,2028,开曼群岛,0.0175364986062049,0.1803461611270904
45,45,2028,巴哈马,0.0,0.1792449355125427
184,184,2028,洪都拉斯,0.0219039991497993,0.1782248616218567
137,137,2028,佛得角,0.0209729149937629,0.1777840554714203
56,56,2028,刚果共和国,0.0207225754857063,0.1774863302707672
149,149,2028,黑山,0.0176838412880897,0.1758951544761657
93,93,2028,也门,0.0206627026200294,0.1754137575626373
187,187,2028,尼加拉瓜,0.0190509036183357,0.1753603816032409
6,6,2028,圣文森特和格林纳丁斯,0.0202786102890968,0.1752132475376129
105,105,2028,玻利维亚,0.0197105929255485,0.1751272976398468
85,85,2028,安道尔,0.0212142989039421,0.1747281849384308
182,182,2028,哥斯达黎加,0.0216566398739814,0.1743381023406982
28,28,2028,美属维尔京群岛,0.0211830958724021,0.1741041839122772
86,86,2028,阿尔巴尼亚,0.0131380334496498,0.1730936765670776
119,119,2028,关岛,0.0284294858574867,0.1723238825798034
98,98,2028,伊拉克,0.020961619913578,0.1693601012229919
5,5,2028,刚果民主共和国,0.0196940973401069,0.1672483086585998
57,57,2028,喀麦隆,0.0188854113221168,0.16573566198349
125,125,2028,安提瓜和巴布达,0.0181027129292488,0.1631527245044708
155,155,2028,瓦努阿图,0.0168937519192695,0.1625959873199463
62,62,2028,坦桑尼亚,0.0190517082810401,0.1617295145988464
152,152,2028,津巴布韦,0.016181357204914,0.1564010977745056
55,55,2028,卢旺达,0.018133021891117,0.1546734571456909
58,58,2028,阿富汗,0.0147987976670265,0.1488298177719116
22,22,2028,塞内加尔,0.0177098885178565,0.1374217867851257
60,60,2028,赞比亚,0.0,0.0396734997630119
39,39,2028,安哥拉,0.0,0.0
